Postcode,blk_no,street,mdf_type
85101,1A,CANTONMENT RD,4 Rm
85101,1A,CANTONMENT RD,5 Rm
85201,1B,CANTONMENT RD,4 Rm
85201,1B,CANTONMENT RD,5 Rm
85301,1C,CANTONMENT RD,4 Rm
85301,1C,CANTONMENT RD,5 Rm
85401,1D,CANTONMENT RD,4 Rm
85401,1D,CANTONMENT RD,5 Rm
85501,1E,CANTONMENT RD,4 Rm
85501,1E,CANTONMENT RD,5 Rm
85601,1F,CANTONMENT RD,4 Rm
85601,1F,CANTONMENT RD,5 Rm
85701,1G,CANTONMENT RD,4 Rm
85701,1G,CANTONMENT RD,5 Rm
121311,311A,CLEMENTI AVE 4,5 Rm
121441,441A,CLEMENTI AVE 3,5 Rm
122312,312B,CLEMENTI AVE 4,5 Rm
123311,311C,CLEMENTI AVE 4,5 Rm
123440,440C,CLEMENTI AVE 3,5 Rm
131028,28A,DOVER CRES,5 Rm
140049,49,STRATHMORE AVE,5 Rm
140148,148,MEI LING ST,Executive
140149,149,MEI LING ST,Executive
141083,83,STRATHMORE AVE,5 Rm
141086,86,DAWSON RD,5 Rm
141092,92,DAWSON RD,5 Rm
141150,150,MEI LING ST,Executive
142050,50,C'WEALTH DR,5 Rm
142053,53,C'WEALTH DR,5 Rm
142088,88,DAWSON RD,5 Rm
142089,89,DAWSON RD,5 Rm
142090,90,DAWSON RD,5 Rm
142093,93,DAWSON RD,5 Rm
144091,91,DAWSON RD,4 Rm
144091,91,DAWSON RD,5 Rm
151096,96A,HENDERSON RD,5 Rm
151126,126,BT MERAH VIEW,5 Rm
153095,95C,HENDERSON RD,4 Rm
160007,7,KIM TIAN PL,5 Rm
160010,10A,BOON TIONG RD,4 Rm
160043,43,MOH GUAN TER,4 Rm
161053,53,HAVELOCK RD,5 Rm
161056,56,HAVELOCK RD,5 Rm
161126,126A,KIM TIAN RD,5 Rm
162009,9A,BOON TIONG RD,4 Rm
162009,9A,BOON TIONG RD,5 Rm
163009,9B,BOON TIONG RD,4 Rm
163009,9B,BOON TIONG RD,5 Rm
164127,127D,KIM TIAN RD,5 Rm
165004,4B,BOON TIONG RD,5 Rm
270028,28,GHIM MOH LINK,5 Rm
271003,3,HOLLAND CL,5 Rm
271022,22,GHIM MOH LINK,5 Rm
271023,23,GHIM MOH LINK,5 Rm
274018,18C,HOLLAND DR,5 Rm
275018,18D,HOLLAND DR,5 Rm
310101,101A,LOR 2 TOA PAYOH,Executive
311099,99B,LOR 2 TOA PAYOH,Executive
311138,138A,LOR 1A TOA PAYOH,5 Rm
311139,139A,LOR 1A TOA PAYOH,5 Rm
312138,138B,LOR 1A TOA PAYOH,5 Rm
312139,139B,LOR 1A TOA PAYOH,5 Rm
313138,138C,LOR 1A TOA PAYOH,5 Rm
320039,39,JLN BAHAGIA,3 Rm
320041,41,JLN BAHAGIA,3 Rm
320050,50,JLN BAHAGIA,3 Rm
320051,51,JLN BAHAGIA,3 Rm
320055,55,JLN BAHAGIA,3 Rm
320061,61,JLN TENTERAM,3 Rm
320065,65,JLN MA'MOR,3 Rm
330007,7,BOON KENG RD,5 Rm
330008,8,BOON KENG RD,5 Rm
330009,9,BOON KENG RD,5 Rm
381008,8A,UPP BOON KENG RD,5 Rm
390060,60,DAKOTA CRES,5 Rm
530851,851,HOUGANG CTRL,Executive
550317,317,SERANGOON AVE 2,Executive
551232,232A,SERANGOON AVE 2,Executive
551236,236A,SERANGOON AVE 2,Executive
560608,608,ANG MO KIO AVE 5,Executive
561310,310A,ANG MO KIO AVE 1,5 Rm
562310,310B,ANG MO KIO AVE 1,5 Rm
570102,102,BISHAN ST 12,Executive
570117,117,BISHAN ST 12,Executive
570128,128,BISHAN ST 12,Executive
570134,134,BISHAN ST 12,Executive
570135,135,BISHAN ST 12,Executive
570168,168,BISHAN ST 13,Executive
570173,173,BISHAN ST 13,Executive
570179,179,BISHAN ST 13,Executive
570186,186,BISHAN ST 13,Executive
570190,190,BISHAN ST 13,Executive
570212,212,BISHAN ST 23,Executive
570223,223,BISHAN ST 23,Executive
570245,245,BISHAN ST 22,Executive
570257,257,BISHAN ST 22,Executive
570301,301,SHUNFU RD,Executive
570441,441,SIN MING AVE,Executive
570444,444,SIN MING AVE,Executive
570446,446,BRIGHT HILL DR,Executive
570451,451,SIN MING AVE,Executive
570454,454,SIN MING AVE,Executive
571273,273A,BISHAN ST 24,5 Rm
571275,275A,BISHAN ST 24,5 Rm
572273,273B,BISHAN ST 24,5 Rm
590002,2,TOH YI DR,Executive
590003,3,TOH YI DR,Executive
590006,6,TOH YI DR,Executive
590007,7,TOH YI DR,Executive
590010,10,TOH YI DR,Executive
